id,product_name,montaj_sabiti,created_date,active,marka_id,title,unit,birim_fiyat,urun_grubu_id,product_category_id,product_type
73,4013 KASA ARA PARÇA ALÜM?NYUM PROF?L B69 5.10,20,17/04/2021 18:40,1,5,4013 KASA ARA PARÇA ALÜM?NYUM PROF?L B69 5.10,AD,0,1,1,TCR
74,"4013 KASA ARA PARÇA ALÜM?NYUM RAL 9005 GOFRATO 5,10",20,17/04/2021 18:40,1,5,"4013 KASA ARA PARÇA ALÜM?NYUM RAL 9005 GOFRATO 5,10",AD,0,1,1,TCR
75,40X40 KARE SAB?T MAFSAL BRONZ(LAMALI),20,17/04/2021 18:40,1,5,40X40 KARE SAB?T MAFSAL BRONZ(LAMALI),AD,0,1,1,TCR
76,40X40 KARE YER FLAN?I BRONZ,20,17/04/2021 18:40,1,5,40X40 KARE YER FLAN?I BRONZ,AD,0,1,1,TCR
77,48 JV 209 PLAKALI ARAÇ,20,17/04/2021 18:40,1,5,48 JV 209 PLAKALI ARAÇ,AD,0,1,1,TCR
78,5 L?K D. OKKA ALÜM?NYUM SATEN,20,17/04/2021 18:40,1,5,5 L?K D. OKKA ALÜM?NYUM SATEN,AD,0,1,1,TCR
79,5 MM KAPRON*40*1 M2,20,17/04/2021 18:40,1,5,5 MM KAPRON*40*1 M2,M2,0,1,1,TCR
80,6*210 MATKAP UCU MILWAUKEE SDS PLUS,20,17/04/2021 18:40,1,5,6*210 MATKAP UCU MILWAUKEE SDS PLUS,AD,0,1,1,TCR
81,70 L?K TEAK BA?LIK,20,17/04/2021 18:40,1,5,70 L?K TEAK BA?LIK,AD,0,1,1,TCR
82,7CM KLAS ALÜM?NYUM SÜRGÜ,20,17/04/2021 18:40,1,5,7CM KLAS ALÜM?NYUM SÜRGÜ,AD,0,1,1,TCR
83,8 MM DÜZ CAM TEMPERL?,20,17/04/2021 18:40,1,5,8 MM DÜZ CAM TEMPERL?,M2,0,1,1,TCR
84,8 MM FÜME TEMPERL?,20,17/04/2021 18:40,1,5,8 MM FÜME TEMPERL?,M2,0,1,1,TCR
85,8*210 MATKAP UCU MILWAUKEE SDS PLUS,20,17/04/2021 18:40,1,5,8*210 MATKAP UCU MILWAUKEE SDS PLUS,AD,0,1,1,TCR
86,80X30 KARE DUVAR FLAN?I BRONZ,20,17/04/2021 18:40,1,5,80X30 KARE DUVAR FLAN?I BRONZ,AD,0,1,1,TCR
87,80X30 KÖ?E D?RSEK 90 DERECE DI?TAN-ÖNDEN KANALLI BRONZ,20,17/04/2021 18:40,1,5,80X30 KÖ?E D?RSEK 90 DERECE DI?TAN-ÖNDEN KANALLI BRONZ,AD,0,1,1,TCR
88,90X205 PANO SÜPÜRGEL?K STANDI,20,17/04/2021 18:40,1,5,90X205 PANO SÜPÜRGEL?K STANDI,AD,0,1,1,TCR
89,956A1004 TIP.ON UZUN BEYAZ (955108) DAH?L,20,17/04/2021 18:40,1,5,956A1004 TIP.ON UZUN BEYAZ (955108) DAH?L,AD,0,1,1,TCR
90,ABC 150 MAST?K S?L?KON?ZE BEYAZ 500 GR,20,17/04/2021 18:40,1,5,ABC 150 MAST?K S?L?KON?ZE BEYAZ 500 GR,AD,0,1,1,TCR
91,ABC 600 S?L?KON ?EFFAF 280 GR,20,17/04/2021 18:40,1,5,ABC 600 S?L?KON ?EFFAF 280 GR,AD,0,1,1,TCR
92,ABC 950 KÖPÜK TABANCALI 850 ML,20,17/04/2021 18:40,1,5,ABC 950 KÖPÜK TABANCALI 850 ML,AD,0,1,1,TCR
93,AÇILI ÇEKT?RME ?EFFAF,20,17/04/2021 18:40,1,5,AÇILI ÇEKT?RME ?EFFAF,AD,0,1,1,TCR
94,AD18-079 FLZ Y?L ELOKSAL Ç?FT MDF,20,17/04/2021 18:40,1,5,AD18-079 FLZ Y?L ELOKSAL Ç?FT MDF,AD,0,1,1,TCR
95,AD18-084 FLZ Y?L CAM ÇITASI (10916),20,17/04/2021 18:40,1,5,AD18-084 FLZ Y?L CAM ÇITASI (10916),AD,0,1,1,TCR
96,ADO 100 AKÇA 100-65-7,20,17/04/2021 18:40,1,5,ADO 100 AKÇA 100-65-7,AD,0,1,1,TCR
